Name,Revenue,Profits,Assets,MarketValue,Employees,Industry,City,State,Country,Region,EconomicPole,Ticker,CeoTitle
Ultrapar Holdings,22695,451,5301,0,14597,Energy,São Paulo,0,Brazil,Latin America  ,Growth,UGP   ,Chief Executive Officer
Xinxing Cathay International,32567,455.7,19554,0,64487,Metals,Beijing,0,China,Asia,Growth,  ,President
Arrow Electronics,23282,497.7,13022,5902,18500,Wholesalers: Electronics and Office Equipment,Centennial,Colorado,U.S.,N. America,Developed ,ARW   ,"Chairman, Chief Executive Officer, President"
Guangzhou Automobile Industry Group,34440,497.9,26847,0,67426,Motor Vehicles and Parts,Guangzhou,0,China,Asia,Growth,  ,Chairman
Veolia Environnement,27693,499.4,38982,0,158780,Utilities,Paris,0,France,Europe,Developed ,VEOEY ,"Chief Executive Officer, Chairman, Chief Executive Officer"
Liberty Mutual Insurance Group,39450,514,121707,0,50000,Insurance: Property and Casualty (Stock),Boston,Massachusetts,U.S.,N. America,Developed ,  ,"President, Chief Executive Officer"
Marubeni,60810,518.6,63336,0,39914,Trading,Tokyo,0,Japan,Asia,Developed ,MARUY ,"President, Chief Executive Officer"
China General Technology,27667,522.5,21471,0,39829,"Engineering, Construction",Beijing,0,China,Asia,Growth,  ,"Director, President"
Mitsubishi Heavy Industries,33709,531.7,48868,0,83932,Industrial Machinery,Tokyo,0,Japan,Asia,Developed ,MHVYF ,"President, Chief Executive Officer"
China Energy Engineering Group,33223,539.9,41840,0,169823,"Engineering, Construction",Beijing,0,China,Asia,Growth,  ,Chairman
Sumitomo Life Insurance,31100,550.8,282942,0,42115,"Insurance: Life, Health (Mutual)",Osaka,0,Japan,Asia,Developed ,  ,"Chief Executive Officer, President"
China United Network Communications,44085,552.4,94758,0,231299,Telecommunications,Shanghai,0,China,Asia,Growth,  ,"Chairman, Chief Executive Officer"
Quanta Computer,31734,561.7,16186,0,90167,"Computers, Office Equipment",Taoyuan,0,Taiwan,Asia,Growth,0,"Vice Chairman, President"
Avnet,27925,571.9,10800,5815,18800,Wholesalers: Electronics and Office Equipment,Phoenix,Arizona,U.S.,N. America,Developed ,AVT   ,"Chief Executive Officer, Director"
NEC,23500,572.7,22188,0,98726,Information Technology Services,Tokyo,0,Japan,Asia,Developed ,NIPNF ,"President, Chief Executive Officer"
Auchan Holding ,60158,574.6,38696,0,337737,Food and Drug Stores,Croix,0,France,Europe,Developed ,  ,"Chairman, Management Group, General Manager, Auchan Retail"
Randstad Holding ,21319,575.5,7939,0,29750,Temporary Help,Diemen,0,Netherlands,Europe,Developed ,RANJY ,"Chairman, Chief Executive Officer"
Nationwide,40222,580.7,185306,0,34032,Insurance: Property and Casualty (Mutual),Columbus,Ohio,U.S.,N. America,Developed ,  ,"Chief Executive Officer, Nationwide Mutual Insurance Company"
PTT,59196,582.2,60439,0,24790,Petroleum Refining,Bangkok,0,Thailand,Asia,Growth,0,"President, Chief Executive Officer"
Amazon.com,107006,596,65444,279511,230800,Internet Services and Retailing,Seattle,Washington,U.S.,N. America,Developed ,AMZN  ,"President, Chief Executive Officer, Chairman of the Board"
CEFC China Energy,41845,603.2,14201,0,23055,Energy,Shanghai,0,China,Asia,Growth,  ,President
Poste Italiane,34098,612.3,190993,0,142798,"Insurance: Life, Health (stock)",Rome,0,Italy,Europe,Developed ,  ,"Chief Executive Officer, Managing Director"
Sumitomo,33409,621,69566,0,66860,Trading,Tokyo,0,Japan,Asia,Developed ,SSUMY ,"President, Chief Executive Officer"
Sysco,48681,686.8,17989,26384,51700,Wholesalers: Food and Grocery,Houston,Texas,U.S.,N. America,Developed ,SYY   ,"President, Chief Executive Officer"
SSE,43334,693.5,31885,0,21118,Utilities,Perth,0,Britain,Europe,Developed ,SSEZY ,Chief Executive Officer
La Poste,25563,704.4,253105,0,245424,"Mail, Package, and Freight Delivery",Paris,0,France,Europe,Developed ,  ,Chief Executive Officer
J. Sainsbury,35391,709.2,24392,0,108300,Food and Drug Stores,London,0,Britain,Europe,Developed ,JSAIY ,"Chief Executive Officer, Director"
Royal Philips,28689,715.5,33646,0,112959,"Electronics, Electrical Equip.",Amsterdam,0,Netherlands,Europe,Developed ,PHG   ,"President, Chief Executive Officer"
Fujitsu,39477,722.7,28709,0,156515,Information Technology Services,Tokyo,0,Japan,Asia,Developed ,FJTSY ,"President, Director"
Pegatron,38239,750.2,14497,0,196251,"Computers, Office Equipment",Taipei,0,Taiwan,Asia,Growth,0,"President, Chief Executive Officer"
Hindustan Petroleum,28829,751.8,13242,0,10538,Petroleum Refining,Mumbai,0,India,South Asia,Growth,0,"Chairman, Managing Director, Chief Executive Officer"
PKN ORLEN Group,23438,752.7,12195,0,19932,Petroleum Refining,Plock,0,Poland,Europe,Growth,  ,"President, Chief Executive Officer"
Sumitomo Electric Industries,24432,758,24407,0,240865,Motor Vehicles and Parts,Osaka,0,Japan,Asia,Developed ,SMTOY ,"President, Chief Executive Officer"
Sinomach,35134,766.7,40260,0,116722,Industrial Machinery,Beijing,0,China,Asia,Growth,  ,Chairman
Metro,71266,769.4,30867,0,203773,Food and Drug Stores,Düsseldorf,0,Germany,Europe,Developed ,MTTRY ,Chairman
