Airport__Name,Aircraft__Make_Model,Effect__Amount_of_damage,Aircraft__Airline_Operator,Origin_State,When__Phase_of_flight,Wildlife__Size,Wildlife__Species,When__Time_of_day,Cost__Other,Cost__Repair,Cost__Total,Speed_IAS_in_knots
MINETA SAN JOSE INTL,B-737-300,None,AMERICA WEST AIRLINES,California,Climb,Medium,Unknown bird - medium,Night,0,0,0,210
PORTLAND INTL (OR),B-737-300,None,UNITED AIRLINES,Oregon,Climb,Medium,Unknown bird - medium,Day,0,0,0,
PHILADELPHIA INTL,FOKKER F100,None,AMERICAN AIRLINES,Pennsylvania,Approach,Medium,Unknown bird - medium,Dusk,0,0,0,140
LOS ANGELES INTL,B-777-200,None,UNITED AIRLINES,California,Climb,Small,American kestrel,Day,0,0,0,
METRO OAKLAND INTL,B-737-300,None,SOUTHWEST AIRLINES,California,Landing Roll,Large,Turkey vulture,Day,0,0,0,
GEORGE BUSH INTERCONTINENTAL,B-727,Substantial,DELTA AIR LINES,Texas,Descent,Medium,Unknown bird - medium,Day,0,0,0,
BARKSDALE AIR FORCE BASE ARPT,KC-135R,None,MILITARY,Louisiana,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,150
MEMPHIS INTL,B-757-200,None,NORTHWEST AIRLINES,Tennessee,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,135
SAN FRANCISCO INTL ARPT,B-737-500,None,UNITED AIRLINES,California,Approach,Small,Killdeer,Day,0,0,0,150
INDIANAPOLIS INTL,BE-300 KING,None,BUSINESS,Indiana,Approach,Small,Unknown bird - small,Day,0,0,0,
ATLANTIC CITY INTL,KC-10A,None,MILITARY,New Jersey,Approach,Small,Unknown bird - small,Day,0,0,0,175
SAN ANTONIO INTL,B-757-200,None,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,140
DALLAS/FORT WORTH INTL ARPT,SAAB-340,None,AMERICAN EAGLE AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,120
DENVER INTL AIRPORT,B-727-200,None,UNITED AIRLINES,Colorado,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
BALTIMORE WASH INTL,B-737-700,None,SOUTHWEST AIRLINES,Maryland,Approach,Medium,Unknown bird - medium,Night,0,0,0,138
DALLAS/FORT WORTH INTL ARPT,MD-80,None,AMERICAN AIRLINES,Texas,Approach,Small,Mourning dove,Day,0,0,0,125
PORTLAND INTL (OR),DHC8 DASH 8,None,HORIZON AIR,Oregon,Landing Roll,Medium,Red-tailed hawk,Day,401,0,401,
NASHVILLE INTL,CL-RJ100/200,None,AIR CANADA,Tennessee,Take-off run,Large,Coyote,Day,0,0,0,
PORT COLUMBUS INTL,B-737-200,None,DELTA AIR LINES,Ohio,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,110
GREATER PITTSBURGH,DORNIER 328,None,PSA AIRLINES,Pennsylvania,Approach,Medium,Unknown bird - medium,Day,0,0,0,110
METRO OAKLAND INTL,B-737-300,None,UNITED AIRLINES,California,Climb,Small,Rock pigeon,Day,0,0,0,150
EPPLEY AIRFIELD,B-737-300,None,AMERICA WEST AIRLINES,Nebraska,Approach,Small,Unknown bird - small,Night,0,0,0,
CINCINNATI/NORTHERN KENTUCKY INTL ARPT,EMB-120,None,COMAIR AIRLINES,Kentucky,Approach,Small,European starling,Day,0,0,0,120
GREATER PITTSBURGH,DORNIER 328,None,PSA AIRLINES,Pennsylvania,Approach,Small,Unknown bird - small,Day,0,0,0,240
INDIANAPOLIS INTL,DC-9,None,US AIRWAYS*,Indiana,Take-off run,Small,European starling,Day,0,0,0,
WASHINGTON DULLES INTL ARPT,BE-1900,None,COMMUTAIR,DC,Climb,Small,American robin,Day,0,0,0,
SACRAMENTO INTL,B-737-300,None,UNITED AIRLINES,California,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,
NEW ORLEANS INTL,B-737-500,Substantial,CONTINENTAL AIRLINES,Louisiana,Climb,Small,Mourning dove,Day,0,0,0,135
NEWARK LIBERTY INTL ARPT,A-300,None,FEDEX EXPRESS,New Jersey,Descent,Small,Unknown bird - small,Night,0,0,0,220
SALT LAKE CITY INTL,B-767-300,None,DELTA AIR LINES,Utah,Approach,Medium,Unknown bird - medium,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,B-757-200,None,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,135
NEW ORLEANS INTL,MD-80,None,TRANS WORLD AIRLINES,Louisiana,Landing Roll,Small,Unknown bird - small,Day,0,0,0,124
NEW ORLEANS INTL,B-737-400,None,US AIRWAYS*,Louisiana,Approach,Medium,Unknown bird - medium,Day,0,0,0,210
DENVER INTL AIRPORT,B-737-300,None,UNITED AIRLINES,Colorado,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,MD-80,None,AMERICAN AIRLINES,Texas,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,
PHILADELPHIA INTL,A-320,None,AMERICA WEST AIRLINES,Pennsylvania,Approach,Small,Unknown bird - small,Day,0,0,0,
DALLAS/FORT WORTH INTL ARPT,B-727-200,None,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Dusk,0,0,0,130
